pair_id,pair_type,effect_size_name,effect_size,ci_lower,ci_upper,test_name,test_statistic,p_value,extra,n_obs,n_groups,p_value_holm
fine_x_country,cat_num,epsilon_squared,0.10489954167304487,0.07872304416184525,0.1451343029531396,kruskal,94.74501225539596,3.1241705918702045e-18,strongest_pair=FR vs UNCLEAR; dunn_p=6.55e-19,853,7,3.1241705918702047e-17
fine_x_dpa,cat_num,epsilon_squared,0.03738971719520512,0.027774230685458968,0.07692421952449205,kruskal,39.57526630140725,2.012517281369473e-05,strongest_pair=Datainspektionen vs UNCLEAR; dunn_p=7.53e-06,802,11,0.0001408762096958631
fine_x_role,cat_num,epsilon_squared,0.01419879399877851,0.00343326080445712,0.03418275593930747,kruskal,15.046661731049682,0.004605409655301457,strongest_pair=JOINT_CONTROLLER vs UNCLEAR; dunn_p=0.129,783,5,0.018421638621205827
fine_x_jurisdiction,cat_num,epsilon_squared,0.06354020993526815,0.058984242232064124,0.0841997753303221,kruskal,57.6914773953016,8.858030872194107e-12,strongest_pair=SINGLE_JURISDICTION_DOMESTIC vs UNCLEAR; dunn_p=4.13e-13,850,5,7.972227784974697e-11
fine_x_crossborder,cat_num,epsilon_squared,0.0,0.0,0.014557049801308817,kruskal,2.613555491037661,0.4551180486838343,strongest_pair=NON_EU_ENTITY_INVOLVED vs NO_SINGLE_JURISDICTION; dunn_p=0.681,802,4,0.4551180486838343
fine_x_cooperation,cat_num,epsilon_squared,0.017670831682250823,0.0044008449930273905,0.04369410431521365,kruskal,15.192873860753068,0.001659027165111695,strongest_pair=NON_COOPERATIVE vs PARTIAL_COOPERATION; dunn_p=0.00416,694,4,0.008295135825558474
fine_x_firsttime,cat_num,epsilon_squared,0.03991162156473404,0.014514001532513475,0.07961394141385122,kruskal,23.272894294003244,8.838024784032522e-06,strongest_pair=NO_REPEAT_OFFENDER vs YES_FIRST_TIME; dunn_p=6.75e-06,536,3,7.070419827226017e-05
fine_x_breachtype,cat_num,epsilon_squared,0.06081177478857885,0.026097418050130525,0.24082361286696338,kruskal,19.243389767863984,0.03727797144623497,"strongest_pair=CYBER_ATTACK vs CYBER_ATTACK,TECHNICAL_FAILURE; dunn_p=1",163,11,0.11183391433870492
fine_x_subjects,cat_num,epsilon_squared,0.01865379122681511,0.0,0.13082355921627514,kruskal,5.201147364764183,0.15764694231677973,strongest_pair=NO_NOT_NOTIFIED vs YES_NOTIFIED; dunn_p=0.504,122,4,0.31529388463355945
fine_x_legalbasis,cat_num,epsilon_squared,0.1812078444104698,0.14279458740884252,0.24404231756144765,kruskal,136.6642832429184,2.0314563900888356e-24,strongest_pair=CONTRACT vs NO_BASIS_CLAIMED; dunn_p=5.15e-17,710,11,2.2346020290977192e-23
fine_x_issuemonth,time_num,epsilon_squared,0.0872948650602065,0.05606599596376187,0.18321984871125496,kruskal,34.093382756617,0.00017808995560594776,strongest_pair=2020-12 vs 2022-10; dunn_p=0.0433,287,11,0.0010685397336356866
fine_x_turnover,num_num,spearman_rho,0.8333032478790665,0.7707306681850746,0.8739437423800114,spearman,0.8333032478790665,3.1747362110288344e-41,"log_rho=0.833; theil_slope=0.000462 (0.000278,0.000685); log_slope=0.306 (0.26,0.362)",155,1,3.809683453234601e-40
